,0,1,2,3,4
AMP1,86.39503736,74.51039019,0.0,0.0,0.0
CPR1,101.5085295,92.45029152,0.0,0.0,0.0
ERY1,96.99703933,94.12468231,0.0,0.0,0.0
DOX1,105.1177217,98.66945732,0.0,0.0,0.0
TMP2,100.1550825,106.8022126,0.0,0.0,0.0
AMP1-CPR1,73.98843931,72.11840335,0.0,0.0,0.0
AMP1-ERY1,77.37205696,72.59680072,0.0,0.0,0.0
AMP1-DOX1,83.46256873,85.99192704,0.0,0.0,0.0
AMP1-TMP2,96.99703933,96.03827179,0.0,0.0,0.0
CPR1-ERY1,99.02720993,95.79907311,0.0,0.0,0.0
CPR1-DOX1,103.3131256,100.8222455,0.0,0.0,0.0
CPR1-TMP2,103.5387001,106.5630139,0.0,0.0,0.0
ERY1-DOX1,95.19244325,94.363881,0.0,0.0,0.0
ERY1-TMP2,100.1550825,102.0182389,0.0,0.0,0.0
DOX1-TMP2,99.25278444,107.28061,0.0,0.0,0.0
AMP1-CPR1-ERY1,74.43958833,72.35760203,0.0,0.0,0.0
AMP1-CPR1-DOX1,77.59763147,90.77590073,0.0,0.0,0.0
AMP1-CPR1-TMP2,88.87635697,96.51666916,0.0,0.0,0.0
AMP1-ERY1-DOX1,80.75567461,72.11840335,0.0,0.0,0.0
AMP1-ERY1-TMP2,96.09474129,94.363881,0.0,0.0,0.0
AMP1-DOX1-TMP2,97.22261384,95.79907311,0.0,0.0,0.0
CPR1-ERY1-DOX1,90.45537854,94.363881,0.0,0.0,0.0
CPR1-ERY1-TMP2,99.47835895,96.51666916,0.0,0.0,0.0
CPR1-DOX1-TMP2,101.0573805,106.0846165,0.0,0.0,0.0
ERY1-DOX1-TMP2,90.45537854,96.03827179,0.0,0.0,0.0
AMP1-CPR1-ERY1-DOX1,80.30452559,94.363881,0.0,0.0,0.0
AMP1-CPR1-ERY1-TMP2,89.77865501,97.95186126,0.0,0.0,0.0
AMP1-CPR1-DOX1-TMP2,94.51571972,103.453431,0.0,0.0,0.0
AMP1-ERY1-DOX1-TMP2,88.87635697,82.88234415,0.0,0.0,0.0
CPR1-ERY1-DOX1-TMP2,87.97405893,89.57990731,0.0,0.0,0.0
AMP1-CPR1-ERY1-DOX1-TMP2,81.20682363,106.0846165,0.0,0.0,0.0
AMP1,86.21081004,86.39503736,74.51039019,0.0,0.0
CPR1,91.65839126,101.5085295,92.45029152,0.0,0.0
ERY1,90.29649596,96.99703933,94.12468231,0.0,0.0
DOX1,98.24088523,105.1177217,98.66945732,0.0,0.0
TMP3,95.97105972,102.1852531,110.1509942,0.0,0.0
AMP1-CPR1,81.44417648,73.98843931,72.11840335,0.0,0.0
AMP1-ERY1,81.21719393,77.37205696,72.59680072,0.0,0.0
AMP1-DOX1,88.253653,83.46256873,85.99192704,0.0,0.0
AMP1-TMP3,102.7805362,98.3504864,101.7790402,0.0,0.0
CPR1-ERY1,100.9646758,99.02720993,95.79907311,0.0,0.0
CPR1-DOX1,101.4186409,103.3131256,100.8222455,0.0,0.0
CPR1-TMP3,96.87898993,108.5013393,110.6293915,0.0,0.0
ERY1-DOX1,83.71400199,95.19244325,94.363881,0.0,0.0
ERY1-TMP3,88.48063555,100.6062315,103.453431,0.0,0.0
DOX1-TMP3,95.51709462,102.8619766,106.3238152,0.0,0.0
AMP1-CPR1-ERY1,80.08228117,74.43958833,72.35760203,0.0,0.0
AMP1-CPR1-DOX1,80.76322883,77.59763147,90.77590073,0.0,0.0
