,0,1,2,3,4
FOX3,111.1915972,0.0,0.0,0.0,0.0
FUS1,0.0,0.0,0.0,0.0,0.0
CPR1,0.0,0.0,0.0,0.0,0.0
DOX1,0.0,0.0,0.0,0.0,0.0
TMP2,0.0,0.0,0.0,0.0,0.0
FOX3-FUS1,78.99311844,0.0,0.0,0.0,0.0
FOX3-CPR1,107.4248461,0.0,0.0,0.0,0.0
FOX3-DOX1,112.0608475,0.0,0.0,0.0,0.0
FOX3-TMP2,101.6298443,0.0,0.0,0.0,0.0
FUS1-CPR1,0.0,0.0,0.0,0.0,0.0
FUS1-DOX1,0.0,0.0,0.0,0.0,0.0
FUS1-TMP2,0.0,0.0,0.0,0.0,0.0
CPR1-DOX1,0.0,0.0,0.0,0.0,0.0
CPR1-TMP2,0.0,0.0,0.0,0.0,0.0
DOX1-TMP2,0.0,0.0,0.0,0.0,0.0
FOX3-FUS1-CPR1,82.47011952,0.0,0.0,0.0,0.0
FOX3-FUS1-DOX1,74.35711699,0.0,0.0,0.0,0.0
FOX3-FUS1-TMP2,76.9648678,0.0,0.0,0.0,0.0
FOX3-CPR1-DOX1,113.2198479,0.0,0.0,0.0,0.0
FOX3-CPR1-TMP2,90.03984064,0.0,0.0,0.0,0.0
FOX3-DOX1-TMP2,91.77834118,0.0,0.0,0.0,0.0
FUS1-CPR1-DOX1,0.0,0.0,0.0,0.0,0.0
FUS1-CPR1-TMP2,0.0,0.0,0.0,0.0,0.0
FUS1-DOX1-TMP2,0.0,0.0,0.0,0.0,0.0
CPR1-DOX1-TMP2,0.0,0.0,0.0,0.0,0.0
FOX3-FUS1-CPR1-DOX1,81.60086925,0.0,0.0,0.0,0.0
FOX3-FUS1-CPR1-TMP2,67.98261499,0.0,0.0,0.0,0.0
FOX3-FUS1-DOX1-TMP2,77.83411807,0.0,0.0,0.0,0.0
FOX3-CPR1-DOX1-TMP2,109.1633466,0.0,0.0,0.0,0.0
FUS1-CPR1-DOX1-TMP2,0.0,0.0,0.0,0.0,0.0
FOX3-FUS1-CPR1-DOX1-TMP2,79.28286853,0.0,0.0,0.0,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX1,87.01754386,91.30553419,97.17689718,0.0,0.0
TMP3,99.89449147,100.9500657,93.11577312,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX1,87.02035369,86.5008881,86.14259598,112.0608475,0.0
FOX3-TMP3,93.15982649,69.92895204,106.6179159,103.6580949,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX1,77.24205619,75.5488304,83.83320383,0.0,0.0
FUS1-TMP3,68.76211508,84.57817577,87.47992748,0.0,0.0
CPR1-DOX1,94.86934119,91.74211793,86.15384615,0.0,0.0
CPR1-TMP3,101.150779,97.45739588,103.0613831,0.0,0.0
DOX1-TMP3,102.4070666,94.91727234,93.86169386,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX1,55.53887221,73.339254,80.0,74.35711699,0.0
FOX3-FUS1-TMP3,70.75408742,74.47602131,76.78244973,73.19811662,0.0
FOX3-CPR1-DOX1,79.81314648,76.8383659,111.8829982,113.2198479,0.0
FOX3-CPR1-TMP3,86.75342009,68.5079929,96.96526508,95.83484245,0.0
FOX3-DOX1-TMP3,98.4984985,79.87566607,108.6654479,101.3400942,0.0
FUS1-CPR1-DOX1,77.55612808,70.2899809,68.68686869,0.0,0.0
FUS1-CPR1-TMP3,75.98576862,80.45047503,84.82776483,0.0,0.0
FUS1-DOX1-TMP3,63.73696479,87.43581475,75.87671588,0.0,0.0
CPR1-DOX1-TMP3,108.6885045,104.1252202,101.7353017,0.0,0.0
FOX3-FUS1-CPR1-DOX1,65.68234902,68.79218472,81.46252285,81.60086925,0.0
FOX3-FUS1-CPR1-TMP3,59.00900901,74.47602131,89.06764168,73.19811662,0.0
FOX3-FUS1-DOX1-TMP3,57.94127461,60.03552398,62.81535649,107.9681275,0.0
FOX3-CPR1-DOX1-TMP3,93.96062729,77.31793961,115.1005484,105.1068453,0.0
